2Dmemory	2Dmemory<br>二度半存储器
realtime data transmission	realtime data transmission<br>实时数据传输；［即时资料传输］
realtime debug program	realtime debug program<br>实时查错［调试］程序；［即时除错程式］
realtime executive	realtime executive<br>实时执行程序；［即时执行程式］
realtime guard mode	realtime guard mode<br>实时保护方式
realtime information system	realtime information system<br>实时信息系统；［即时资讯系统］
realtime input	realtime input<br>实时输入(数据)；［即时输入］
realtime input/output	realtime input/output<br>实时输入输出(数据)；［即时输出入］
realtime mode	realtime mode<br>实时方式；［即时方式］
realtime online operation	realtime online operation<br>实时联机操作；［即时线上作业］
realtime operating system	realtime operating system<br>实时操作系统；［即时作业系统］
realtime operation	realtime operation<br>实时操作；［即时作业］
realtime output	realtime output<br>实时输出(数据)；［即时输出］
realtime processing	realtime processing<br>实时处理(方式)；［即时处理］
realtime processing communication	realtime processing communication<br>实时处理通信法；［即时通信处理］
realtime processing inventory	realtime processing inventory<br>实时处理库存(系统)
realtime processing management	realtime processing management<br>实时处理管理；［即时处理管理］
realtime program	realtime program<br>实时程序；［即时程式］
realtime ratio	realtime ratio<br>实时率
realtime reaction	realtime reaction<br>实时反应
realtime remote inquiry	realtime remote inquiry<br>实时远程查询
realtime satellite computer	realtime satellite computer<br>实时卫星计算机；［即时卫星电脑］
realtime simulation	realtime simulation<br>实时模拟；［即时模拟］
realtime system executives	realtime system executives<br>实时系统执行程序；［即时系统执行程式］
realtime system(RTS)	realtime system(RTS)<br>实时系统；［即时系统］
realtime working	realtime working<br>实时工作；［即时工作］
rear compression	rear compression<br>尾部压缩
reasonableness check	reasonableness check<br>合理性检验；［合理性核对］
reasonableness test	reasonableness test<br>合理性测试
reassembling	reassembling<br>重(组)装
recall	recall<br>检索，再调用；［复检比］
recall factor	recall factor<br>查全率，查全因子；［复检因子］
recall ratio	recall ratio<br>查全率，检索率；［复检比］
receive interruption	receive interruption<br>接收中断；［接收岔断］
receive leg	receive leg<br>接收引线
receive mode	receive mode<br>接收方式
receivertransmitter	receivertransmitter<br>接收发送机，收发机
receive timeout	receive timeout<br>接收超时
receiveonly (RO)	receiveonly (RO)<br>只接收(装置)
receiveonly typing reperforator (ROTR)	receiveonly typing reperforator (ROTR)<br>接收用穿孔打字机；［收录复穿孔机］
receiving entity	receiving entity<br>接收实体
receiving field	receiving field<br>接收字段；［接收栏］
receiving item	receiving item<br>接受项
receiving perforator	receiving perforator<br>接收穿孔机；［接收打孔机］
receiving system	receiving system<br>接收系统
receiving tray	receiving tray<br>接收托盘
reception congestion	reception congestion<br>接收堵塞
RECFM	RECFM<br>记录格式
recirculating memory	recirculating memory<br>循环存储器；［循环记忆器］
reclaimer	reclaimer<br>回收程序，无用单元收集程序
RECNUM	RECNUM<br>记录数
recognition	recognition<br>识别(法，技术)
recognition and  control processor (RCP)	recognition and  control processor (RCP)<br>识别和控制处理机
recognition device	recognition device<br>识别设备；［识别装置］
recognition logic	recognition logic<br>识别逻辑程序
recognition memory	recognition memory<br>识别存储器；［识别记忆器］
recognition time	recognition time<br>鉴别时间
recompile	recompile<br>【动】再编译
recomplementation	recomplementation<br>再求补
reconciliation procedure	reconciliation procedure<br>协调过程
reconfiguration	reconfiguration<br>重构，重新配置
reconstitution	reconstitution<br>重构
reconstruction	reconstruction<br>重新构建
record	record<br>记录
record access mode	record access mode<br>记录存取法；［记录接达法］
record access mode switching	record access mode switching<br>记录存取方式转换；［记录接达方式转换］
record access stream	record access stream<br>记录存取流；［记录接达流］
record access type	record access type<br>记录存取形式；［记录接达形式］
record address file	record address file<br>记录地址文件；［记录位址档案］
record area	record area<br>记录区域
record block	record block<br>记录块；［记录段］
record blocking	record blocking<br>记录组块(技术)；［记录编段］
record cell	record cell<br>记录单元
record chain	record chain<br>记录链
record check time	record check time<br>记录检查时间；［记录核对时间］
record class	record class<br>记录类型
record collection	record collection<br>记录集
record control program	record control program<br>记录控制程序；［记录控制程式］
record control schedule	record control schedule<br>记录控制表
record count	record count<br>记录计数
record definition field (RDF)	record definition field (RDF)<br>记录定义字段
record description	record description<br>记录描述；［记录说明］
recorded text	recorded text<br>记录正文；［记录本文］
recorder	recorder<br>记录器
recorder file	recorder file<br>记录文档；［记录档案］
record file address (RFA)	record file address (RFA)<br>记录文档地址；［记录档案位址］
record format	record format<br>记录格式
record format descriptor	record format descriptor<br>记录格式描述文件；［记录格式说明要摘］
record gap	record gap<br>记录间隔［隙］;［记录隙］
record head	record head<br>记录(磁)头；［记录头，写头］
record header	record header<br>记录首标；［记标］
record heading	record heading<br>记录首标；［记标］
record identifier	record identifier<br>记录识别符［号］；［记录识别号］
recording	recording<br>记录(技术，方法)
recording channel	recording channel<br>记录信道
recording density	recording density<br>记录密度
recording head	recording head<br>记录(磁)头
recording level control	recording level control<br>记录电平控制器
recording level indicator	recording level indicator<br>记录电平指示器
recording medium	recording medium<br>记录媒体
recording method	recording method<br>记录方法
recording mode	recording mode<br>记录方式
recording surface	recording surface<br>记录表面
recording trunk	recording trunk<br>记录中继线
record instance	record instance<br>记录范例
record I/O	record I/O<br>记录输入输出；［记录输出入］
record key	record key<br>记录关键字［码］；记录键
record layout	record layout<br>记录布局［结构，编排］；［记录布置］
record length	record length<br>记录长度
record location mode	record location mode<br>记录定位方式
record locking	record locking<br>记录封锁
record management	record management<br>记录管理
record mark	record mark<br>记录标记；［记录标示］
record mode	record mode<br>记录方式；［记录模态］
record name	record name<br>记录名
record number	record number<br>记录号
record operation	record operation<br>记录操作；［记录作业］
record position	record position<br>记录位置
record ready	record ready<br>记录就绪;［记录备妥］
record replacement	record replacement<br>记录替换
records center	records center<br>记录中心
record selection expression (RSE)	record selection expression (RSE)<br>记录选择表达式
record separator character (RS)	record separator character (RS)<br>记录分隔符；［记录分离号］
records grouped	records grouped<br>分组记录
record size	record size<br>记录大小
record sorting	record sorting<br>记录分类；［记录排序］
record spacing	record spacing<br>记录间隔［空格］
records retention schedule	records retention schedule<br>记录保留一览表
records search	records search<br>记录检［搜］索
record type	record type<br>记录类型
recordlength field	recordlength field<br>记录长度字段
recordoriented device	recordoriented device<br>面向记录的设备
recoverable ABEND	recoverable ABEND<br>可恢复的异常结束
recoverable error	recoverable error<br>可恢复错误
recoverable synchronization	recoverable synchronization<br>可恢复同步
recovered signal	recovered signal<br>复原信号
recovery	recovery<br>恢复,复原
recovery management support(RMS)	recovery management support(RMS)<br>恢复管理后援程序;［恢复管理保持］
recovery procedure	recovery procedure<br>恢复过程;［恢复程序］
recovery routine	recovery routine<br>恢复例行程序;［恢复常式］
recovery system	recovery system<br>恢复系统
recovery time	recovery time<br>恢复时间
recovery volume	recovery volume<br>恢复卷
recreatable data base	recreatable data base<br>可重建数据库;［可重建资料库］
rectangular mode	rectangular mode<br>正交方式(区)
recurrent transmission code	recurrent transmission code<br>循环传输码
recursion	recursion<br>递归,循环
recursion analysis	recursion analysis<br>递推分析(法，技术)
recursive	recursive<br>【修】递归的,循环的;［递回］
recursive function	recursive function<br>递归函数;［递回函数］
recursively defined sequence	recursively defined sequence<br>递归定义的序列
recursive macro calls	recursive macro calls<br>递归宏调用;［递回巨呼叫］
recursive procedure	recursive procedure<br>递归过程;［递回过程］
recursive process	recursive process<br>递归处理法
recursive subroutine	recursive subroutine<br>递归子例行程序;［递回次常式］
red	red<br>【修】红色
redact	redact<br>【动】编校
redaction	redaction<br>编校本
Red Book	Red Book<br>红皮书
redefine	redefine<br>【动】重新定义,再定义
red tape operation	red tape operation<br>内务操作,辅助操作
REDUCE	REDUCE<br>REDUCE语言
reduction	reduction<br>缩小率,约简
reduction ratio	reduction ratio<br>压缩比,缩小率
redundancy	redundancy<br>冗余度,冗余(量)
redundancy character	redundancy character<br>冗余字符;［冗余字元］
redundancy check	redundancy check<br>冗余校验;［冗余核对］
redundancy check bit	redundancy check bit<br>冗余校验位;［冗余核对数元］
redundancy check character	redundancy check character<br>冗余校验字符;［冗余核对字元］
redundancy checking	redundancy checking<br>冗余校验
redundant	redundant<br>【修】冗余的
redundant character	redundant character<br>冗余字符;［冗余字元］
redundant check	redundant check<br>冗余校验;［冗余核对］
redundant code	redundant code<br>冗余码
redundant nary signal	redundant nary signal<br>冗余n进制信号
reel	reel<br>带盘;［卷盘］
reel to reel	reel to reel<br>【修】卷到卷
reel to reel recorder	reel to reel recorder<br>卷到卷记录器
reenlargement	reenlargement<br>再放大
reenterable	reenterable<br>【修】可再入的，可重入的
reenterable code	reenterable code<br>可重入代码
reenterable load module	reenterable load module<br>可重入的装入模块
reenterable program	reenterable program<br>可重入程序；［可重入程式］
reenterable routine	reenterable routine<br>可重入例行程序；［可重入常式］
reenterable subroutine	reenterable subroutine<br>可重入子程序；［可重入次常式］
reentrant	reentrant<br>可重入，可再入；［重入］
reentrant code	reentrant code<br>可重入代码；［重入码］
reentrant program	reentrant program<br>可再入程序；［重入程式］
reentrant routine	reentrant routine<br>可再入例行程序；［重入常式］
reentrant subroutine	reentrant subroutine<br>可再入子例行程序；［重入次常式］
reentry point	reentry point<br>返回点，再入点，重入点
reentry system	reentry system<br>重入法
reference	reference<br>引用
reference address	reference address<br>基准地址；［参考址］
reference analysis	reference analysis<br>引用分析
reference bit	reference bit<br>访问位；［参考数元］
reference block	reference block<br>参考块，基块
reference clock	reference clock<br>参考时钟
reference debugging aids	reference debugging aids<br>调试辅助程序
reference edge	reference edge<br>基准边；［参考缘］
reference excursion	reference excursion<br>标准偏移，标准漂移
reference format	reference format<br>基准格式
reference input elements	reference input elements<br>参考［基准］输入元件
reference input signal	reference input signal<br>参考输入信号
reference instruction	reference instruction<br>引用指令
reference language	reference language<br>参考语言
reference line	reference line<br>参考行
reference list	reference list<br>参考清单
reference listing	reference listing<br>参考列表，对照表
reference power supply	reference power supply<br>参考电源，基准电源
reference record	reference record<br>参考记录
reference supply	reference supply<br>参考电源，基准电源
reference tape	reference tape<br>基准带，参考带
reference time	reference time<br>基准时间，参考时间
reference voltage	reference voltage<br>参考电压
referenceprogram table	referenceprogram table<br>参引程序表；［参考程式表］
REFER expression	REFER expression<br>REFER表达式
REFER object	REFER object<br>REFER目标
refile	refile<br>接力传送
reflectance ink	reflectance ink<br>反射墨水
reflectance ratio	reflectance ratio<br>反射率
reflected code	reflected code<br>反射码
reflective marker	reflective marker<br>反射标记；［反射标识］
reflective scan	reflective scan<br>反射扫描(法)
reflector	reflector<br>反射器
reflex copying	reflex copying<br>反射复制法
reformatting	reformatting<br>重定格式，格式变换
refresh	refresh<br>刷新；［复新］
refreshable	refreshable<br>【修】可刷新的
refreshable load module	refreshable load module<br>可更新装入模块
refreshable program	refreshable program<br>可刷新程序
refresh buffer	refresh buffer<br>刷新缓冲器
refresh circuitry	refresh circuitry<br>刷新电路
refreshed CRT	refreshed CRT<br>可刷新阴极射线管
refreshing	refreshing<br>刷新(过程，方法);［复新］
refresh rate	refresh rate<br>刷新率；［再生率］
regenerate	regenerate<br>【动】再生，重写
regeneration	regeneration<br>再生(成)
regenerative feedback	regenerative feedback<br>再生［正］反馈
regenerative memory	regenerative memory<br>再生存储器
regenerative reading	regenerative reading<br>再生读取
regenerative repeater	regenerative repeater<br>再生转发器
regenerative storage	regenerative storage<br>再生存储器
regenerative track	regenerative track<br>再生磁道
regenerator	regenerator<br>再生器，中继站
regenerator section	regenerator section<br>再生部分
regime	regime<br>时(间)段
region	region<br>区，区域
regional address	regional address<br>区地址；［区域位址］
regional center	regional center<br>区域(电话)中心局
regional computer network	regional computer network<br>区计算机网络；［区域电脑网路］
region class	region class<br>区域级
region control task (RCT)	region control task (RCT)<br>区域控制任务
region job pack area (JPA)	region job pack area (JPA)<br>区域作业装配区
regiondependent segmentation	regiondependent segmentation<br>按区［域］分割［段］
register	register<br>寄存器；【动】对齐；［暂存器］
register address field	register address field<br>寄存器地址字段；［暂存器位址栏］
register addressing	register addressing<br>寄存器寻址法；［暂存器定址］
register and arithmetic logic unit (RALU)	register and arithmetic logic unit (RALU)<br>寄存器和运算逻辑部件
register block	register block<br>寄存器组；［暂存器组］
register capacity	register capacity<br>寄存器容量；［暂存器容量］
register copy instruction	register copy instruction<br>寄存器拷贝指令
register file	register file<br>寄存器文卷；［暂存器文档］
register guides	register guides<br>对齐导规
register inputbuffer	register inputbuffer<br>寄存输入缓冲器；［输入缓冲暂存器］
register insertion	register insertion<br>寄存器插入(法)；［暂存器插入］
register length	register length<br>寄存器长度；［暂存器长度］
register map	register map<br>暂存图［表］
register marks	register marks<br>定位标志
register pointer	register pointer<br>寄存器指针；［暂存器指示器］
register select	register select<br>寄存器选择(线)；［暂存器选择］
register transfer	register transfer<br>寄存器传送；［暂存器转移］
register transfer microprogramming language	register transfer microprogramming language<br>寄存器传送微程序设计语言
register transfer simulation	register transfer simulation<br>寄存器传送模拟(法)；［暂存器转移模拟］
registration	registration<br>定位，对齐
registration mark	registration mark<br>定位标记
registration program	registration program<br>登记［注册］程序
regrade	regrade<br>再分类
regression	regression<br>回归(率)
regular command	regular command<br>常规命令
regulated power supply	regulated power supply<br>稳压电源
regulation	regulation<br>调节
reinforced insulation	reinforced insulation<br>加强绝缘(法)
reject character	reject character<br>拒纳字符
reject frame	reject frame<br>拒收帧
rejection	rejection<br>“或非”
rejection gate	rejection gate<br>“或非”门
relation	relation<br>关系；［关系式］
relational algebra	relational algebra<br>关系代数
relational calculus	relational calculus<br>关系演算(式)
relational data base	relational data base<br>关系数据库；［关系资料库］
relational database schema	relational database schema<br>关系数据库模式
relational expression	relational expression<br>关系表达式；［关系式］
relational memory	relational memory<br>相关存储器；［关系记忆器］
relational model	relational model<br>关系模型
relational operator	relational operator<br>关系运算符；［关系运算子］
relational query	relational query<br>关系询问
relation character	relation character<br>关系(字)符； ［关系字元］
relation condition	relation condition<br>关系条件(语句)
relation record	relation record<br>关系记录
relation test	relation test<br>关系测试
relative accuracy	relative accuracy<br>相对精度
relative address	relative address<br>相对地址；［相对址］
relative address coding (RAC)	relative address coding (RAC)<br>相对地址编码法
relative addressing	relative addressing<br>相对寻址(法)；［相对定址］
relative address label	relative address label<br>相对地址标号
relative block number	relative block number<br>相对块号
relative byte address(RBA)	relative byte address(RBA)<br>相对字节地址； ［相对数元组位址］
relative code	relative code<br>相对代码；［相对码］
relative coding	relative coding<br>相对编码法；［相对写码］
relative command	relative command<br>相对命令
relative coordinate	relative coordinate<br>相对坐标
relative data	relative data<br>相对数据；［相对资料］
relative data set	relative data set<br>相对数据集；［相对资料集］
relative delay	relative delay<br>相对延迟
relative element address designate coding (READ)	relative element address designate coding (READ)<br>相对元地址指定编码法
relative entropy	relative entropy<br>相对熵
relative error	relative error<br>相对误差
relative files	relative files<br>相关文件；［相对档案］
relative frequency	relative frequency<br>相对频率
relative line number	relative line number<br>相对线路号
relative magnitude	relative magnitude<br>相对幅度
relative order	relative order<br>相对命令
relative origin	relative origin<br>相对原点［起始地址］
relative program	relative program<br>相对程序；［相对程式，浮动程式］
relative record	relative record<br>相对记录
relative record number (RRN)	relative record number (RRN)<br>相对记录号
relative redundancy	relative redundancy<br>相对冗余度
relative refractory period	relative refractory period<br>相对不应期
relative sequential access method (RSAM)	relative sequential access method (RSAM)<br>相对顺序存取方法；［相对顺序接达法］
relative sequential data set (RSDS)	relative sequential data set (RSDS)<br>相对顺序数据集；［相对顺序资料集］
relative time clock (RTC)	relative time clock (RTC)<br>相对定时时钟
relative transmission level	relative transmission level<br>相对传输电平
relative vector	relative vector<br>相对向量
relativerecord file	relativerecord file<br>相对记录文件；［相对记录档案］
relaxation oscillator	relaxation oscillator<br>张驰振荡器；［驰缓振荡器］
relay	relay<br>中继站；
relay amplifier	relay amplifier<br>中继放大器
relay center	relay center<br>转接中心
relay contacts	relay contacts<br>继电器触点
relay driver	relay driver<br>中继驱动器
release	release<br>版； 【动】释放
release connection	release connection<br>【动】断开
release graphics	release graphics<br>释放图形
release read	release read<br>释放读
releaseguard signal	releaseguard signal<br>释放保护信号
releasequiesce (RELQ) indicator	releasequiesce (RELQ) indicator<br>释放停止指示符
relevance ratio	relevance ratio<br>相关比
reliability	reliability<br>可靠性;［可靠度］
reliability, availability, serviceability, integrity, security (RASIS)	reliability, availability, serviceability, integrity, security (RASIS)<br>RASIS性能
reliability theory	reliability theory<br>可靠性理论
relief printing	relief printing<br>凸版印刷术
relinquish	relinquish<br>【动】放弃,释放
reloadable control store	reloadable control store<br>可重新装入控制存储器
relocatability	relocatability<br>可重定位性,浮动性
relocatability attribute	relocatability attribute<br>浮动属性
relocatable	relocatable<br>【修】浮动的,可重定位的;［可重定的］
relocatable address	relocatable address<br>可重定位地址; ［可重定位址］
relocatable assembler	relocatable assembler<br>浮动汇编程序;［可重定组译器］
relocatable code	relocatable code<br>浮动代码,可再定位程序码;［可重定位码］
relocatable code addressing modes	relocatable code addressing modes<br>浮动代码寻址方式
relocatable coding	relocatable coding<br>浮动［再定位］编码(法);［可重定位写码］
relocatable expression	relocatable expression<br>浮动［可重定位］表达式
relocatable form	relocatable form<br>可重定位［浮动］形式
relocatable library	relocatable library<br>浮动库,可重定位库;［可重定程式馆］
relocatable library module	relocatable library module<br>浮动库模块
relocatable linking loader	relocatable linking loader<br>浮动［可重定位］连接装配程序;［可重定连接载入器］
relocatable load module	relocatable load module<br>浮动［可重定位］装入模块
relocatable macroassembler	relocatable macroassembler<br>浮动宏汇编程序;［可重定巨组合程式］
relocatable phase	relocatable phase<br>浮动［可重定位］可执行程序(段)
relocatable program	relocatable program<br>可重定位程序;［可重定程式］
relocatable program loader	relocatable program loader<br>可重定位程序的装入程序,再定位装配程序;［可重定程式载入器］
relocatable routine	relocatable routine<br>可重定位［浮动］例行程序;［可重定位常式］
relocatable subroutine	relocatable subroutine<br>可重定位［浮动］子程序;［可重定位次常式］
relocatable task set	relocatable task set<br>浮动任务集
relocatable term	relocatable term<br>浮动项,可重定位项
relocate	relocate<br>【动】浮动,再定位，重定位
relocate hardware	relocate hardware<br>重定位硬体
relocating loader	relocating loader<br>重定位装入程序;［重定位载入器］
relocating object loader	relocating object loader<br>重定位目标程序装入程序
relocation	relocation<br>再［重］定位;［改变位置,重新安置］
relocation constant	relocation constant<br>浮动［重定位］常数
relocation dictionary (RLD)	relocation dictionary (RLD)<br>浮动地址表
relocation factor	relocation factor<br>再［重］定位因子
relocation interrupt	relocation interrupt<br>再［重］定位中断
relocation pack	relocation pack<br>再定位包;再定位压缩
relocationprocessor storage	relocationprocessor storage<br>再定位处理机存储器
RELQ indicator	RELQ indicator<br>释放停止指示符
remainder	remainder<br>余数
remanence	remanence<br>剩磁
remark	remark<br>注解;［评语］
remedial maintenance	remedial maintenance<br>出错［修复］维修;［补救维护］
remote access	remote access<br>【修】远程存取［访问］;［遥远接达］
remote access dataprocessing network	remote access dataprocessing network<br>远程存取数据处理网络;［遥远接达资料处理网路］
remote batch	remote batch<br>远程批处理(法);［遥远整批］
remote batch entry	remote batch entry<br>远程批输入;［遥远整批登录］
remote batch processing	remote batch processing<br>远程批处理法［技术］;［遥远整批处理］
remote batch terminal (RBT)	remote batch terminal (RBT)<br>远程批处理终端;［遥远整批终端］
remote calculator	remote calculator<br>远程计算器［程序］
remote call forwarding (RCF)	remote call forwarding (RCF)<br>远程呼叫转发(技术)
remote command submission	remote command submission<br>远程命令提交
remote computer	remote computer<br>远程计算机;［遥远电脑］
remote computing system exchange	remote computing system exchange<br>远程计算系统交换机
remote computing system language	remote computing system language<br>远程计算系统语言;［遥远计算系统语言］
remote concentrator	remote concentrator<br>远程集线［中］器
remote console	remote console<br>远程控制台;［遥远控制台］
remote control	remote control<br>遥控法
remote controller	remote controller<br>远程控制器
remote data concentrator	remote data concentrator<br>远程数据集中器;［遥远资料集中器］
remote data stations	remote data stations<br>远程数据站;［遥远资料站］
remote data terminal	remote data terminal<br>远程数据终端;［遥远资料终端］
remote debugging	remote debugging<br>远程调试(法);［遥远除错］
remote destination	remote destination<br>远程目的地［收信方］;［遥远目的地］
remote device	remote device<br>远程设备;［遥远装置］
remote entry services (RES)	remote entry services (RES)<br>远程输入服务(程序);［遥远输入服务］
remote equipment	remote equipment<br>远程设备;［遥远设备,遥远装置］
remote file access	remote file access<br>远程文件存取;［遥远档案接达］
remote host	remote host<br>远程主机;［遥远主机］
remote inquiry	remote inquiry<br>远程查询;［遥远询问］
remote intelligent terminal	remote intelligent terminal<br>远程智能终端;［遥远智能终端］
remote job entry (RJE)	remote job entry (RJE)<br>远程作业输入(法);［遥远工作登录］
remote job entry (RJE) processing	remote job entry (RJE) processing<br>远程作业输入处理(法);［遥远工作登录处理］
remote key	remote key<br>远程密钥;［遥远钥］
remote loop adapter (RLA)	remote loop adapter (RLA)<br>远程环路适配器;［遥远环路配接器］
remote maintenance	remote maintenance<br>远程维护(法);［遥远维护］
remote management utility control block (RCB)	remote management utility control block (RCB)<br>远程管理公用程序控制块
remote message processing	remote message processing<br>远程信息［报文］处理(法);［遥远讯息处理］
remote network control program	remote network control program<br>远程网络控制程序;［遥远网路控制程式］
remote order wire	remote order wire<br>远程命令线;［遥远命令线］
remote power off	remote power off<br>遥控断电
remote printing	remote printing<br>远程打印(法);［遥远印字］
remote processing	remote processing<br>远程处理(技术);［遥远处理］
remote program loader (RPL)	remote program loader (RPL)<br>远程程序装入器;［遥远程式馈入器］
remote (RMT)	remote (RMT)<br>【修】远程的,遥远的
Remote Spooling Communications Subsystem (RSCS)	Remote Spooling Communications Subsystem (RSCS)<br>远程假脱机通信子系统
remote station	remote station<br>远程站;［遥远站］
remote system	remote system<br>远程系统;［遥远系统］
remote system connect time	remote system connect time<br>远程系统连接时间
remote terminal	remote terminal<br>远程终端;［遥远终端机］
remote terminal access method (RTAM)	remote terminal access method (RTAM)<br>远程终端存取方法;［遥远终端接达方法］
remote testing	remote testing<br>远程测试法;［遥远测试］
remote transaction	remote transaction<br>远程事务处理程序,远程交易;［遥远事务处理］
remoteaccess data processing	remoteaccess data processing<br>远程访问数据处理(技术);［遥远接达资料处理］
remoteaccess storage and retrieval	remoteaccess storage and retrieval<br>远程访问存储和检索法;［遥远接达储存和检索］
remotecontrol language	remotecontrol language<br>远程控制语言
remotecontrol signal	remotecontrol signal<br>遥控信号
remotedata base access service	remotedata base access service<br>远程数据库存取服务(程序);［遥远资料库接达服务］
remoteoperation display	remoteoperation display<br>远程操作显示(器);［遥远作业显示］
remoteoriented simulation system (ROSS)	remoteoriented simulation system (ROSS)<br>面向远程模拟系统
removable random access	removable random access<br>【修】可装卸式随机存取;［可拆装随机接达］
reorganize	reorganize<br>重新组织
repaginate	repaginate<br>重新加页码
repagination	repagination<br>再标记页码
repairable data base	repairable data base<br>可修复数据库;［可修复资料库］
repair time	repair time<br>修理［复］时间;［检修时间］
repairdelay time	repairdelay time<br>修理延误时间;［检修延迟时间］
repeatability	repeatability<br>重合性
repeatability measure	repeatability measure<br>重合性度量
repeatable read	repeatable read<br>可重复读
repeat character (RPT)	repeat character (RPT)<br>重复字符;［重复字元］
repeat counter	repeat counter<br>重复次数记数器;［重复记数器］
repeated selection sort	repeated selection sort<br>重复选择分类法
repeater	repeater<br>增音器;中继器;［转发器］
repeater coil	repeater coil<br>增音线圈
repeating group	repeating group<br>重复组
repeat key	repeat key<br>重复键
Repeat to Address  (RA)	Repeat to Address  (RA)<br>重复编址
repeat until	repeat until<br>无休止重复
repeataction key	repeataction key<br>重复作用键
reperforator	reperforator<br>复孔机,自动纸带穿孔机;［复穿孔机］
reperforator transmitter	reperforator transmitter<br>自动纸带穿孔发送机;［复穿孔传输器］
repertoire	repertoire<br>指令系统;［演者目录］
repertory	repertory<br>指令表,指令系统;［收集范围］
repetition factor	repetition factor<br>重复因子
repetition instruction	repetition instruction<br>重复指令；［指令栈单］
repetitive addressing	repetitive addressing<br>重复寻址法；［重复定址］
repetitive operation	repetitive operation<br>重复运算(操作)；［重复作业［运转］］
repetitive specification	repetitive specification<br>重复说明
replacement algorithm	replacement algorithm<br>置换算法
replay	replay<br>重放(法)
reply	reply<br>应答，回答(单位)
reply queue element (RQE)	reply queue element (RQE)<br>应答队列元
report	report<br>报告，报表；［报告书］
Report Customizer Program Product	Report Customizer Program Product<br>报告定制人程序产品
report generation	report generation<br>报表生成(技术)；［制表］
report generator	report generator<br>报表生成程序；［制表器］
report heading	report heading<br>报表头；［报表提要］
report interval	report interval<br>报表间隔
report program	report program<br>报表程序；［报表程式］
report program generator II (RPG II)	report program generator II (RPG II)<br>报表程序生成程序Ⅱ；［报表编制器Ⅱ］
report program generator (RPG)	report program generator (RPG)<br>报表(程序)生成程序；［报表编制器］
report program generator (RPG) language	report program generator (RPG) language<br>报表(程序)生成程序语言，RPG语言；［报表编制器语言］
report writer	report writer<br>报表书写程序
reposition indicator	reposition indicator<br>再定位指示器
representation	representation<br>表示(法)；表达式
representation of knowledge	representation of knowledge<br>知识表示法
representative calculating operation	representative calculating operation<br>典型计算操作
representative simulation	representative simulation<br>代表模拟法；［典型模拟］
representativecalculating time	representativecalculating time<br>典型计算时间
representativecomputing time	representativecomputing time<br>典型计算时间
reprint	reprint<br>再版［印刷］，重印
reproduce	reproduce<br>【动】复制
reproducer	reproducer<br>复穿孔机；［复制器］
reproducing head	reproducing head<br>重放头，放音磁头
reproducing punch	reproducing punch<br>复孔机；［复制打孔］
reproduction codes	reproduction codes<br>复制代码
reprogramming	reprogramming<br>重新程序设计(法)
repudiation	repudiation<br>否认
request control block (RCB)	request control block (RCB)<br>请求控制块
request for next message (RFNM)	request for next message (RFNM)<br>请求下一报文
request for proposal (RFP)	request for proposal (RFP)<br>投标请求，建议请求；［提案要求］
request header (RH)	request header (RH)<br>请求报头［标题］
requesting terminal	requesting terminal<br>请求终端；［申请终端］
request operator's control panel	request operator's control panel<br>操作员请求控制面板
request parameter list (RPL)	request parameter list (RPL)<br>请求参数表
request (REQ)	request (REQ)<br>请求
request/response header (RH)	request/response header (RH)<br>请求/应答(报)头
request/response unit (RU)	request/response unit (RU)<br>请求/应答单元
request slip	request slip<br>请求调拨
request to send	request to send<br>请求发送；［申请输送］
request unit (RU)	request unit (RU)<br>请求单元；［申请单位］
request words for inputoutput	request words for inputoutput<br>输入输出请求字；［输出入申请字］
requestrepeat system	requestrepeat system<br>请求重发法；［申请重复系统］
required carrier return character (RCR)	required carrier return character (RCR)<br>必需的回车(字)符
required cryptographic session	required cryptographic session<br>必需的加密话路
required hyphen	required hyphen<br>必需的连字符
required hyphen character (HYP)	required hyphen character (HYP)<br>必需的连字符
required new line character (RPE)	required new line character (RPE)<br>必需的换行(字)符
required page break	required page break<br>必需页断(指令)
required page end character (RPE)	required page end character (RPE)<br>必需的页结束字符
required space	required space<br>必需的空格
required space character (RSP)	required space character (RSP)<br>必需空格［间隔］符
reroute	reroute<br>【动】重新路由(选择)，再邮送
rerun	rerun<br>重新［再］运行；［再执行，重复运行］
rerun mode	rerun mode<br>再运行方式
rerun point	rerun point<br>重新运行点；［重作点］
rerun program	rerun program<br>重新［再］运行程序；［重作程式］
rerun routine	rerun routine<br>重新运行例行程序；［重作常式］
rerun time	rerun time<br>重复运行时间；［重作时间］
RES	RES<br>远程输入服务(程序)
rescue dump	rescue dump<br>拯救转储；［援救倾卸］
rescue point	rescue point<br>拯救点；［援救点］
reservation	reservation<br>预定，保留
reserved filetypes	reserved filetypes<br>保留文件类型
reserved page	reserved page<br>保留页
reserved page frame performance option	reserved page frame performance option<br>保留页框性能可选项
reserved page option	reserved page option<br>保留页面可选项
reserved unit	reserved unit<br>保留单元；［保留单位］
reserved volume	reserved volume<br>保留卷
reserved word	reserved word<br>保留字
reset	reset<br>【动】复位，
reset cycle	reset cycle<br>循环复位
reset information data set (RIDS)	reset information data set (RIDS)<br>复位信息数据集；［重设资讯资料集］
reset key	reset key<br>复位键；［重设键］
reset mode	reset mode<br>复位方式；［重设模态］
